Name,Description,Upkeep,Energy,Activation,Recharge,Attribute,Campaign
Accumulated Pain,Spell. Deals 15...63...75 damage. Inflicts Deep Wound condition (5...17...20 seconds) if target foe has 2 or more hexes.,0,5,2,12,Illusion Magic,Factions
Accumulated Pain (PvP),Spell. Deals 10...30...35 damage. Inflicts Deep Wound condition (5...17...20 seconds) if target foe has 2 or more hexes.,0,5,2,15,Illusion Magic,Factions
Air of Disenchantment,Elite Hex Spell. Also hexes foes near your target (5...17...20 seconds). Remove one enchantment from target and nearby foes. Enchantments expire 150...270...300% faster on those foes.,0,10,1,10,Illusion Magic,Nightfall
Ancestor's Visage,Enchantment Spell. (4...9...10 seconds.) All adjacent foes lose all adrenaline and 3 Energy whenever a melee attack hits target ally.,0,10,1,20,Illusion Magic,Factions
Aneurysm,Spell. Target foe regains all Energy. For each point of Energy gained, target takes 1...3...3 damage and all adjacent foes lose 1 Energy (maximum 1...24...30).,0,5,1,5,Domination Magic,Eye of the North
Arcane Conundrum,Hex Spell. Also hexes foes adjacent to target (5...13...15 seconds). Doubles spell casting time. End effect: you gain 1...6...7 energy.,0,10,2,20,,Core
Arcane Echo,Enchantment Spell. (20 seconds.) Arcane Echo becomes the next spell you use (20 seconds). This enchantment ends if you use any skill that is not a spell.,0,15,2,20,,Core
Arcane Languor,Elite Hex Spell. (1...8...10 second[s].) Target foe's spells cause 10 Overcast.,0,10,2,15,Fast Casting,Factions
Arcane Larceny,Spell. (5...29...35 seconds.) Disables one random spell. This skill becomes that spell.,0,10,1,0,Domination Magic,Factions
Arcane Mimicry,Spell. This skill becomes target ally's elite skill (20 seconds). Cannot self-target. No effect if target's elite skill is a form.,0,15,2,60,,Core
Arcane Thievery,Spell. (5...29...35 seconds.) Disables one random spell. This skill becomes that spell.,0,10,1,0,Domination Magic,Prophecies
Auspicious Incantation,Enchantment Spell. (20 seconds.) Your next spell gives you 110...182...200% of its Energy cost. That spell takes 10...6...5 seconds longer to recharge.,0,5,1,25,Inspiration Magic,Factions
Backfire,Hex Spell. (10 seconds.) Target foe takes 35...119...140 damage whenever it casts a spell.,0,15,3,20,Domination Magic,Core
Blackout,Touch Skill. (2...5...6 seconds.) Disables skills. Your skills are disabled (5 seconds).,0,10,1,12,Domination Magic,Prophecies
Calculated Risk,Hex Spell. Target foe does +10 damage with attacks (3...20...24 seconds). There is a 50% chance that the damage from each attack (maximum 15...83...100) will be done to that foe instead.,0,5,1,7,Illusion Magic,Eye of the North
Calculated Risk (PvP),Hex Spell. Target foe does +10 damage with attacks (3...10...12 seconds). There is a 50% chance that the damage from each attack (maximum 10...50...60) will be done to that foe instead.,0,10,1,12,Illusion Magic,Eye of the North
Channeling,Enchantment Spell. (8...46...56 seconds.) You gain 1 Energy for each foe in the area whenever you cast a spell.,0,5,1,15,Inspiration Magic,Prophecies
Chaos Storm,Spell. Deals 5...21...25 damage and causes 0...2...2 Energy loss each second (10 seconds). Hits foes adjacent to target's initial location.,0,5,2,30,Domination Magic,Prophecies
Clumsiness,Hex Spell. (4 seconds.) Also hexes adjacent foes. Interrupts next attack. Interruption effect: deals 10...76...92 damage.,0,10,2,8,Illusion Magic,Core
Complicate,Spell. Interrupt a skill. Interruption effect: disables interrupted skill (+5...11...12 seconds) for target foe and all foes in the area.,0,10,0.25,20,Domination Magic,Factions
Confusing Images,Hex Spell. (2...8...10 seconds). Target foe takes twice as long to activate non-attack skills.,0,10,2,20,Illusion Magic,Eye of the North
Conjure Nightmare,Hex Spell. (2...13...16 seconds.) Causes -8 Health degeneration.,0,15,1,5,Illusion Magic,Factions
Conjure Phantasm,Hex Spell. (2...13...16 seconds.) Causes -5 Health degeneration.,0,10,1,5,Illusion Magic,Core
Crippling Anguish,Elite Hex Spell. (5...17...20 seconds.) Target foe moves and attacks 50% slower and has -1...7...8 Health degeneration.,0,5,1,12,Illusion Magic,Core
Crippling Anguish (PvP),Elite Hex Spell. (5...17...20 seconds.) Target foe moves 50% slower and has -1...4...5 Health degeneration.,0,15,1,20,Illusion Magic,Core
Cry of Frustration,Spell. If target foe is using a skill, that foe and all foes in the area are interrupted and take 15...63...75 damage.,0,10,0.25,15,Domination Magic,Core
Cry of Pain,Spell. Interrupts a skill. If target foe had a Mesmer hex, deals 25...50 damage to target and foes in the area and causes 3...5 Health degeneration (10 seconds).,0,10,0.25,15,Sunspear rank,Nightfall
Discharge Enchantment,Spell. Removes one enchantment from target foe. 20...44...50% faster recharge if that foe was hexed.,0,10,1,15,Inspiration Magic,Nightfall
Distortion,Stance. (1...4...5 second[s].) You have 75% chance to block. Block cost: you lose 2 Energy or Distortion ends.,0,5,0,8,Illusion Magic,Prophecies
Diversion,Hex Spell. (6 seconds.) Target foe's next skill takes +10...47...56 seconds to recharge.,0,10,3,12,Domination Magic,Core
Drain Delusions,Spell. Removes one Mesmer hex from target foe. Causes 1...4...5 Energy loss. You gain 4 Energy for each point lost. No effect unless a hex was removed.,0,5,0.25,12,Inspiration Magic,Nightfall
Drain Enchantment,Spell. Removes an enchantment from target foe. Removal effect: you gain 8...15...17 Energy and 40...104...120 Health.,0,5,2,20,Inspiration Magic,Core
Echo,Elite Enchantment Spell. (30 seconds.) Echo becomes the next skill you use (30 seconds).,0,5,1,10,,Core
Elemental Resistance,Stance. (30...78...90 seconds.) You have +40 armor against elemental damage. You have -24...14...12 armor against physical damage.,0,10,0,20,Inspiration Magic,Prophecies
Empathy,Hex Spell. (5...13...15 seconds.) Target foe's attacks deal 1...12...15 less damage, and that foe takes 10...46...55 damage with each attack.,0,10,2,10,Domination Magic,Core
Empathy (PvP),Hex Spell. (5...13...15 seconds.) Target foe takes 15...39...45 damage whenever it attacks.,0,10,2,10,Domination Magic,Core
Enchanter's Conundrum,Elite Hex Spell. Causes 100...180...200% slower enchantment casting (10 seconds). Initial effect: deals 10...82...100 damage to target and adjacent foes if target foe is not enchanted.,0,10,2,10,Domination Magic,Nightfall
Enchanter's Conundrum (PvP),Elite Hex Spell. Causes 100...180...200% slower enchantment casting (10 seconds). Initial effect: deals 10...82...100 damage to target and adjacent foes if target foe is not enchanted.,0,10,2,20,Domination Magic,Nightfall
Energy Burn,Spell. Causes 1...8...10 Energy loss. Deals 9 damage for each point of Energy lost.,0,10,2,20,Domination Magic,Core
Energy Drain,Elite Spell. Causes 2...8...9 Energy loss. You gain 3 Energy for each point of Energy lost.,0,5,1,30,Inspiration Magic,Core
Energy Surge,Elite Spell. Causes 1...8...10 Energy loss. Deals 9 damage to target and nearby foes for each point of Energy lost.,0,5,2,15,Domination Magic,Core
Energy Tap,Spell. Causes 4...6...7 Energy loss. You gain 2 Energy for each point of Energy lost.,0,5,2,30,Inspiration Magic,Core
Epidemic,Spell. Conditions on target foe transfer to adjacent foes.,0,5,0.25,5,,Core
Ether Feast,Spell. Causes 3 Energy loss. You gain 20...56...65 Health for each point of Energy lost.,0,5,1,8,Inspiration Magic,Core
Ether Lord,Hex Spell. You lose all Energy. Target foe has -1...3...3 Energy degeneration and you have +1...3...3 Energy regeneration (5...9...10 seconds).,0,5,2,20,Inspiration Magic,Prophecies
Ether Nightmare,Hex spell. Causes 5...8 Energy loss. Target and foes in the area have -1 Health degeneration for each point of Energy lost (10 seconds).,0,10,3,25,Allegiance rank,Factions
Ether Phantom,Hex Spell. (10 seconds.) Causes -1 Energy degeneration. Causes 1...4...5 Energy loss if this hex ends early.,0,5,1,10,Inspiration Magic,Nightfall
Ether Signet,Signet. You gain 10...18...20 Energy. No effect unless you have less than 5...9...10 Energy.,0,0,1,45,Inspiration Magic,Factions
Ethereal Burden,Hex Spell. (10 seconds.) Target foe moves 50% slower. End effect: you gain 10...16...18 Energy.,0,15,1.5,30,Illusion Magic,Prophecies
Expel Hexes,Elite Spell. Removes 2 hexes from target ally.,0,5,1,8,,Factions
Extend Conditions,Elite Spell. Spread all conditions from target foe to foes near your target. Those durations of those conditions are increased by 5...81...100% (maximum 30 seconds).,0,5,0.25,5,Inspiration Magic,Nightfall
Feedback,Spell. Removes one enchantment. Removal effect: target foe loses 4...9...10 Energy.,0,10,2,30,Inspiration Magic,Factions
