Name,Description,Adrenaline,Energy,Activation,Recharge,Attribute,Campaign
"Together as One!",Elite Shout. (3...13...15 seconds.) All party members near you or your pet deal +5...13...15 damage and gain +1...6...7 Health regeneration. PvE Skill,0,10,0,15,Expertise,Core
Antidote Signet,Signet. Remove Poison Disease and Blindness from yourself and one additional condition.,0,0,1,4,,Core
Apply Poison,Preparation. (24 seconds.) Your physical attacks inflict Poisoned condition (3...13...15 seconds).,0,15,2,12,Wilderness Survival,Core
Archer's Signet,Elite Signet. (1...19...24 seconds.) Conditions you apply while wielding a bow last 100% longer.,0,0,1,12,Expertise,Factions
Arcing Shot,Bow Attack. Deals +10...22...25 damage. Unblockable. This arrow moves 50% slower.,0,5,0,6,Marksmanship,Nightfall
Barbed Arrows,Preparation. (24 seconds.) Your arrows inflict Bleeding condition (3...13...15 seconds). You have -40 armor while activating this skill.,0,10,2,12,Wilderness Survival,Nightfall
Barbed Trap,Trap. (90 seconds.) Affects nearby foes. Deals 7...20...23 piercing damage. Inflicts Crippled and Bleeding conditions (3...21...25 seconds). Easily interrupted.,0,15,2,20,Wilderness Survival,Core
Barrage,Elite Bow Attack. Deals +5...17...20 damage. Hits 5 foes adjacent to your target. All your preparations are removed.,0,5,0,1,Marksmanship,Core
Bestial Fury,Stance. (5...10...11 seconds.) You attack 25% faster. Your non-attack skills are disabled (5 seconds).,0,10,0,10,Beast Mastery,Factions
Bestial Mauling,Pet Attack. Deals +5...17...20 damage. Inflicts Dazed condition (4...9...10 seconds) if target foe is knocked-down.,0,5,0,20,Beast Mastery,Factions
Bestial Pounce,Pet Attack. Deals +5...17...20 damage. Causes knock-down if target foe is casting a spell.,0,5,0,10,Beast Mastery,Prophecies
Body Shot,Bow Attack. Deals +5...17...20 damage. You gain 5...9...10 Energy if target foe has Cracked Armor.,0,5,0,8,Marksmanship,Eye of the North
Brambles,Nature Ritual. Creates a level 1...8...10 spirit (30...126...150 second lifespan). Knocked-down creatures take 5 damage and begin Bleeding (5...17...20 seconds). Does not affect spirits.,0,10,5,60,Wilderness Survival,Factions
Broad Head Arrow,Elite Bow Attack. Slow moving arrow. Interrupts a spell. Inflicts Dazed condition (5...17...20 seconds).,0,15,0,15,Marksmanship,Factions
Brutal Strike,Pet Attack. Deals +5...29...35 damage. Deals +5...29...35 more damage if target foe is under 50% health.,0,10,0,5,Beast Mastery,Prophecies
Burning Arrow,Elite Bow Attack. Deals +10...26...30 damage. Inflicts Burning condition (1...6...7 seconds).,0,10,0,5,Marksmanship,Nightfall
Call of Haste,Shout. (30 seconds.) Your pet moves and attacks 33% faster.,0,10,0,25,Beast Mastery,Core
Call of Haste (PvP),Shout. (30 seconds.) Your pet moves and attacks 25% faster.,0,10,0,25,Beast Mastery,Core
Call of Protection,Shout. (120 seconds.) Your pet has 5...17...20 damage reduction.,0,5,0,90,Beast Mastery,Prophecies
Called Shot,Bow Attack. You shoot an arrow that moves 3 times faster. Unblockable.,0,5,0,3,,Core
Charm Animal,Skill. Charm target animal. Once charmed your animal companion will travel with you whenever you have Charm Animal equipped. You cannot charm an animal that is more than 4 levels above you.,0,10,10,0,Beast Mastery,Core
Charm Animal (Codex),Skill. Your animal companion will travel with you whenever you have Charm Animal equipped. Failure unless Beast Mastery 8 or higher.,0,10,10,0,Beast Mastery,Core
Choking Gas,Preparation. (1...10...12 seconds.) +1...7...8 damage. Spreads Choking Gas to foes adjacent to target. Choking Gas interrupts spells.,0,15,2,24,Wilderness Survival,Core
Comfort Animal,Skill. Your pet gains 20...87...104 Health. Resurrects your pet (10...48...58% Health.) If you have Comfort Animal equipped your animal companion will travel with you.,0,5,1,1,Beast Mastery,Core
