Name,Description,Sacrifice,Energy,Activation,Recharge,Attribute,Campaign
Agony,Binding Ritual. Creates a level 1...10...12 spirit (30...78...90 second lifespan). Causes 3...9...10 Health loss each second to foes in earshot. This spirit loses 3...9...10 Health for each foe that loses Health.,0,10,0.75,30,Channeling Magic,Eye of the North
Agony (PvP),Binding Ritual. Creates a level 1...7...8 spirit (30...78...90 second lifespan). Causes 3...9...10 Health loss each second to foes in earshot. This spirit loses 3...9...10 Health for each foe that loses Health.,0,10,3,30,Channeling Magic,Eye of the North
Ancestors' Rage,Skill. (1 second.) End Effect: deals 5...89...110 lightning damage to foes adjacent to target ally.,0,5,0.25,10,Channeling Magic,Factions
Ancestors' Rage (PvP),Skill. (3 seconds.) Deals 1...33...41 lightning damage to foes adjacent to target ally each second.,0,5,1,8,Channeling Magic,Factions
Anguish,Binding Ritual. Creates a level 1...9...11 spirit (15...39...45 second lifespan). Its attacks deal 5...17...20 damage. Double damage to hexed foes.,0,15,0.75,45,Communing,Nightfall
Anguish (PvP),Binding Ritual. Creates a level 1...6...7 spirit (15...39...45 second lifespan). Its attacks deal 5...17...20 damage. Double damage to hexed foes.,0,25,3,45,Communing,Nightfall
Anguished Was Lingwah,Item Spell. (10...50...60 seconds.) Your Ritualist hexes cost 1...4...5 less energy and last 33% longer. Drop effect: all your Ritualist hexes are recharged.,0,5,2,30,Spawning Power,Factions
Armor of Unfeeling,Skill. (10...30...35 seconds.) Your spirits within earshot take 50% less damage and are immune to critical attacks.,0,5,1,20,Communing,Factions
Armor of Unfeeling (PvP),Enchantment Spell. (10...30...35 seconds.) You have 10 base damage reduction while casting binding rituals.,0,10,1,20,Communing,Factions
Attuned Was Songkai,Elite Item Spell. (45 seconds.) Your spells and binding rituals cost -5...41...50% of the base Energy.,0,10,2,60,Spawning Power,Factions
Blind Was Mingson,Item Spell. (15...51...60 seconds.) Drop effect: inflicts Blindness condition (3...7...8 seconds) on all nearby foes.,0,5,1,20,Restoration Magic,Factions
Bloodsong,Binding Ritual. Creates a level 1...10...12 spirit (30...126...150 second lifespan). Its attacks steal 5...21...25 Health.,0,5,0.75,30,Channeling Magic,Factions
Bloodsong (PvP),Binding Ritual. Creates a level 1...7...8 spirit (30...126...150 second lifespan). Its attacks steal 5...21...25 Health.,0,5,3,30,Channeling Magic,Factions
Boon of Creation,Enchantment Spell. (15...51...60 seconds.) You gain 5...41...50 Health and 1...5...6 Energy whenever you create a creature.,0,10,2,45,Spawning Power,Factions
Brutal Weapon,Weapon Spell. (10...34...40 seconds.) Attacks deal +5...13...15 damage. No effect while target ally is enchanted.,0,10,1,15,Communing,Factions
Caretaker's Charge,Elite Spell. Deals 20...64...75 lightning damage. You gain 5 Energy and 5...41...50 Health if you are holding an item.,0,5,1,4,Channeling Magic,Nightfall
Channeled Strike,Spell. Deals 5...77...95 lightning damage. Deals 5...29...35 additional lightning damage if you are holding an item.,0,10,2,4,Channeling Magic,Factions
Clamor of Souls,Elite Spell. Deals 10...54...65 lightning damage to target and nearby foes. You gain 10 Energy if you are within earshot of a spirit or holding a bundle item.,0,10,1,8,Channeling Magic,Factions
Consume Soul,Elite Spell. Steals 5...49...60 Health. Deal 25...105...125 damage to hostile summoned creatures in the area of target foe.,0,5,1,5,Spawning Power,Factions
Cruel Was Daoshen,Item Spell. (15...51...60 seconds.) Your Ritualist skills have 10% armor penetration. Drop effect: deals 15...71...85 lightning damage to all nearby foes.,0,15,2,30,Channeling Magic,Factions
Death Pact Signet,Signet. Resurrects target party member with your current Health and 15...83...100% maximum Energy. For 120 seconds, you die the next time this party member dies.,0,3,3,12,Restoration Magic,Nightfall
Death Pact Signet (PvP),Signet. Resurrects target party member with your current Health and 15...83...100% maximum Energy. For 120 seconds, you die the next time this party member dies.,0,4,3,12,Restoration Magic,Nightfall
Defiant Was Xinrae,Elite Item Spell. (15...51...60 seconds.) You cannot lose more than 20% of your max Health from a single hit. Drop effect: steal 5...41...50 Health from nearby foes.,0,5,1,20,Restoration Magic,Factions
Destruction,Binding Ritual. Create a level 1...11...14 Spirit that dies after 30 seconds. When this Spirit dies, all foes in the area take 5...21...25 damage for each second Spirit was alive (maximum 150 damage).,0,10,0.75,20,Channeling Magic,Factions
Destruction (PvP),Binding Ritual. Creates a level 1...8...10 spirit (30 second lifespan). On death, it deals 1...8...10 damage for each second it was alive to all foes in the area (maximum 150 damage).,0,10,3,20,Channeling Magic,Factions
Destructive Was Glaive,Elite Item Spell. (30...54...60 seconds.) Your Ritualist skills have 20% armor penetration. Drop effect: deals 15...71...85 lightning damage to all foes in the area.,0,5,0.75,5,Channeling Magic,Factions
Destructive Was Glaive (PvP),Elite Item Spell. (30...54...60 seconds.) Your Ritualist skills have 10% armor penetration. Drop effect: deals 15...71...85 lightning damage to all foes in the area.,0,10,1,10,Channeling Magic,Factions
Disenchantment,Binding Ritual. Creates a level 1...10...12 spirit (10...30...35 second lifespan). Its attacks deal 5...17...20 damage and remove one enchantment.,0,15,1,30,Communing,Factions
Disenchantment (PvP),Binding Ritual. Creates a level 1...7...8 spirit (10...30...35 second lifespan). Its attacks deal 5...17...20 damage and remove one enchantment.,0,25,5,45,Communing,Factions
Displacement,Binding Ritual. Creates a level 1...11...14 spirit (30...54...60 second lifespan). Non-spirit allies within range have 75% chance to block. Block effect: this spirit takes 60 damage.,0,15,0.75,45,Communing,Factions
Displacement (PvP),Binding Ritual. Creates a level 1...8...10 spirit (30...54...60 second lifespan). Non-spirit allies within range have 75% chance to block. Block effect: this spirit takes 60 damage.,0,15,3,45,Communing,Factions
Dissonance,Binding Ritual. Creates a level 1...10...12 spirit (10...22...25 second lifespan). Its attacks deal 5...17...20 damage and interrupt [actions].,0,25,1,45,Communing,Factions
Dissonance (PvP),Binding Ritual. Creates a level 1...7...8 spirit (10...22...25 second lifespan). Its attacks deal 5...17...20 damage and interrupt [actions].,0,25,5,45,Communing,Factions
Doom,Spell. Deals 10...34...40 lightning damage (maximum 135) for each of your recharging binding rituals.,0,10,1,8,Spawning Power,Factions
Draw Spirit,Spell. Teleports target allied spirit to your location.,0,5,0.25,5,,Factions
Dulled Weapon,Hex Spell. Also hexes foes adjacent to your target (5...13...15 seconds). Removes ability to land a critical hit. Reduces damage by 1...12...15.,0,15,1,20,Communing,Factions
