Name,Description,Adrenaline,Energy,Activation,Recharge,Attribute,Campaign
"Charge!",Elite Shout. (5...11...13 seconds.) Allies in earshot move 33% faster. Initial effect: these allies lose the Crippled condition.,0,5,0,20,Tactics,Core
"Coward!",Elite Shout. Causes knock-down if target foe is moving.,4,0,0,2,,Factions
"Fear Me!",Shout. (1...12...15 seconds.) You have +5...25...30% chance of a critical hit with melee attacks against stationary foes. Initial effect: nearby foes lose 1...3...4 Energy.,4,0,0,6,Tactics,Prophecies
"For Great Justice!",Shout. (20 seconds.) You gain 100% more adrenaline.,0,5,0,45,,Core
"For Great Justice!" (PvP),Shout. (8 seconds.) You gain 1 extra strike of adrenaline whenever you hit with an attack.,0,5,0,45,,Core
"I Meant to Do That!",Shout. You gain 1...4...5 strikes of adrenaline if you are knocked-down.,0,5,0,8,Strength,Eye of the North
"I Will Avenge You!",Shout. You have +3...6...7 Health regeneration and attack 25% faster (10 seconds for each dead ally).,0,5,0,45,Strength,Prophecies
"I Will Survive!",Shout. (5...10...11 seconds.) You have +3 Health regeneration for each condition on you.,0,5,0,30,Strength,Prophecies
"None Shall Pass!",Shout. Knocks down all nearby moving foes. Recharges 1...7...8 seconds faster for each affected foe (maximum 25 seconds).,0,5,0,45,Tactics,Factions
"On Your Knees!",Shout. Recharges all your stances if you are adjacent to a knocked-down foe. You lose all adrenaline.,6,0,0,0,,Factions
"Retreat!",Shout. (5...10...11 seconds.) Party members in earshot move 33% faster. No effect unless there are dead allies within earshot.,0,5,0,20,Tactics,Factions
"Save Yourselves!",Shout. (4...6 seconds.) All other party members gain +100 armor.,8,0,0,0,Allegiance rank,Factions
"Shields Up!",Shout. (5...10...11 seconds.) Party members in earshot have +60 armor against projectile attacks.,0,10,0,30,Tactics,Core
"To the Limit!",Shout. (10...18...20 seconds.) You have +10...50...60 maximum Health. Initial effect: you gain one strike of adrenaline for each foe within earshot (maximum 1...5...6).,0,5,0,15,Tactics,Prophecies
"Victory Is Mine!",Elite Shout. You gain 10...56...68 Health and 3...6...7 Energy for each condition on target foe.,0,5,0,15,Tactics,Prophecies
"Watch Yourself!",Shout. (10 seconds.) Party members in earshot have +5...21...25 armor. Ends after 10 incoming attacks.,4,0,0,4,Tactics,Core
"Watch Yourself!" (PvP),Shout. (10 seconds.) Party members in earshot have +5...21...25 armor. Ends after 1...3...3 incoming attacks.,4,0,0,4,Tactics,Core
"You Will Die!",Shout. You gain 1...3...3 strikes of adrenaline. No effect unless target foe is under 50% Health.,0,5,0,15,Strength,Factions
"You're All Alone!",Elite Shout. Inflicts Cripple and Weakness conditions (8 seconds). No effect if target foe is near one of its allies.,0,5,0,10,,Nightfall
Agonizing Chop,Axe Attack. Deals +5...17...20 damage. Interrupts an action if target foe has a Deep Wound.,6,0,1,0,Axe Mastery,Nightfall
Auspicious Blow,Hammer Attack. Deals +5...17...20 damage and you gain 3...7...8 Energy. Unblockable if target foe is Weakened.,5,0,0,0,Hammer Mastery,Factions
Auspicious Parry,Elite Stance. (8 seconds.) Blocks one attack. End effect: you gain 1...3...4 strikes of adrenaline.,1,0,0,2,Tactics,Factions
Axe Rake,Axe Attack. Deals +1...8...10 damage and inflicts Crippled condition (15 seconds) if target foe has a Deep Wound.,5,0,0,0,Axe Mastery,Core
Axe Twist,Axe Attack. Deals +1...16...20 damage and inflicts Weakness condition (20 seconds) if target foe has a Deep Wound.,5,0,0,0,Axe Mastery,Prophecies
Backbreaker,Elite Hammer Attack. Deals +1...16...20 damage. Causes knockdown. Knockdown lasts 4 seconds with Strength 8 or higher.,9,0,0,0,Hammer Mastery,Prophecies
Balanced Stance,Stance. (8...18...20 seconds.) You cannot be knocked-down and do not take extra damage from critical hits.,0,5,0,30,Tactics,Core
Barbarous Slice,Sword Attack. Deals +5...25...30 damage. Inflicts Bleeding condition (5...13...15 seconds) if you are not in a stance.,6,0,0,0,Swordsmanship,Nightfall
Battle Rage,Elite Stance. (5...17...20 seconds.) You move 33% faster and gain double adrenaline from your attacks. Ends if you use any non-adrenal skills.,4,0,0,0,Strength,Core
Belly Smash,Hammer Attack. Inflicts Blindness condition to adjacent foes (3...6...7 seconds) if target foe is knocked down.,0,5,1,10,Hammer Mastery,Prophecies
Berserker Stance,Stance. (5...10...11 seconds.) You attack 33% faster and gain 50% more adrenaline. Ends if you use a skill.,0,5,0,20,Strength,Core
Body Blow,Melee Attack. Deals +10...34...40 damage. Inflicts Deep Wound (0...12...15 seconds) if target foe has Cracked Armor.,7,0,0,0,Strength,Eye of the North
Bonetti's Defense,Stance. (5...10...11 seconds.) You have 75% chance to block. Gain 5 Energy for each melee attack blocked. Ends if you use a skill.,8,0,0,0,Tactics,Prophecies
Bull's Charge,Elite Stance. (5...10...11 seconds.) You move 33% faster. Causes knock-down if you hit a moving foe in melee. Ends if you use a skill.,0,5,0,20,Strength,Prophecies
Bull's Strike,Melee Attack. Deals +5...25...30 damage and causes knock-down if target foe is moving.,0,5,0,10,Strength,Core
Burst of Aggression,Stance. (2...8...10 seconds.) You attack 33% faster. End effect: lose all adrenaline.,0,5,0,12,Strength,Nightfall
Charging Strike,Elite Stance. (1...8...10 seconds.) You move 33% faster and deal +10...34...40 damage with your next melee hit. Ends when you hit or if you use a skill.,0,5,0,5,Strength,Nightfall
Cleave,Elite Axe Attack. Deals +10...26...30 damage.,4,0,0,0,Axe Mastery,Core
Counter Blow,Hammer Attack. Causes knock-down if target foe is attacking.,4,0,0,0,Hammer Mastery,Core
Counterattack,Melee Attack. Deals +5...29...35 damage. You gain 2...5...6 Energy if target foe is attacking.,0,5,0,6,Strength,Nightfall
Crippling Slash,Elite Sword Attack. Inflicts Crippled condition (5...13...15 seconds) and Bleeding condition (10...22...25 seconds).,6,0,0,0,Swordsmanship,Nightfall
Critical Chop,Axe Attack. Deals +5...17...20 damage. Interrupts an action if you land a critical hit.,0,5,1,15,Axe Mastery,Nightfall
Crude Swing,Hammer Attack. Attack all adjacent foes for +1...16...20 damage.,0,5,0,5,Hammer Mastery,Prophecies
Crushing Blow,Hammer Attack. Deals +1...16...20 damage. Inflicts Deep Wound condition if target foe is knocked-down (5...17...20 seconds).,0,5,0,10,Hammer Mastery,Prophecies
Cyclone Axe,Axe Attack. Deals +4...10...12 damage to all foes adjacent to you.,0,5,0,4,Axe Mastery,Core
Deadly Riposte,Skill. (8 seconds). You block the next melee attack and your attacker takes 15...75...90 damage. Inflicts Bleeding condition. (3...21...25 seconds). No effect unless you have a sword equipped.,0,5,0,10,Tactics,Prophecies
Decapitate,Elite Axe Attack. Deals +5...41...50 damage. Inflicts Deep Wound condition (5...17...20 seconds). Automatic critical hit. You lose all adrenaline and Energy.,8,0,0,0,Axe Mastery,Nightfall
Defensive Stance,Stance. (1...4...5 seconds.) You have 75% chance to block. End effect: gain one adrenaline for each melee attack skill you have (maximum 0...3...4).,5,0,0,8,Tactics,Core
Deflect Arrows,Stance. (1...5...6 seconds.) You have 75% chance to block attacks. Adjacent foes suffer Bleeding (5...13...15 seconds) when you block a projectile attack.,5,0,0,12,Tactics,Prophecies
Defy Pain,Elite Skill. (20 seconds.) You have +90...258...300 maximum Health, +20 armor, and take 1...8...10 less damage.,5,0,0,0,Strength,Prophecies
Defy Pain (PvP),Elite Stance. (20 seconds.) You have +90...258...300 maximum Health and +20 armor.,5,0,0,0,Strength,Prophecies
Desperation Blow,Melee Attack. Deals +10...34...40 damage. Inflicts one of the following random conditions: Deep Wound (20 seconds), Weakness (20 seconds), Bleeding (25 seconds), or Crippled (15 seconds). You are knocked-down.,0,5,0,7,Tactics,Prophecies
Devastating Hammer,Elite Hammer Attack. Causes knock-down. Inflicts Weakness condition (5...17...20 seconds).,7,0,0,0,Hammer Mastery,Core
Disarm,Sword Attack. Interrupts target foe. Interruption effect: disables this foe's attack skills (0...2...3 seconds) if that action was an attack.,0,5,0.5,20,Strength,Eye of the North
Disciplined Stance,Stance. (1...3...4 seconds.) You have 75% chance to block and +10 armor. Ends if you use an adrenal skill.,0,5,0,15,Tactics,Prophecies
Dismember,Axe Attack. Inflicts Deep Wound condition (5...17...20 seconds).,5,0,0,0,Axe Mastery,Core
Disrupting Chop,Axe Attack. Interrupts an action. Interruption effect: interrupted skill is disabled for +20 seconds.,6,0,0,0,Axe Mastery,Core
Distracting Blow,Melee Attack. Also attacks foes adjacent to your target. Interrupts an action. Hits for no damage.,0,5,0.5,10,,Core
Distracting Strike,Melee Attack. Interrupts an action. Interruption effect: Disables interrupted skill (20 seconds) if target foe has Cracked Armor. Deals no damage.,0,5,0.5,15,,Eye of the North
Dolyak Signet,Signet. (8...18...20 seconds.) You have +10...34...40 armor and cannot be knocked-down. You move 75% slower.,0,0,0,20,Strength,Prophecies
Dragon Slash,Elite Sword Attack. Deals +10...34...40 damage. You gain 1...4...5 strikes of adrenaline if it hits.,10,0,0,0,Swordsmanship,Factions
Drunken Blow,Melee Attack. Deals +10...34...40 damage. Inflicts one of the following random conditions: Deep Wound (20 seconds), Weakness (20 seconds), Bleeding (25 seconds), or Crippled (15 seconds). You are knocked-down.,0,5,0,7,Tactics,Factions
Dwarven Battle Stance,Elite Stance. (5...10...11 seconds.) You attack 33% faster, you gain +40 armor, and your attack skills interrupt actions. No effect unless you have a hammer equipped.,0,5,0,20,Strength,Prophecies
Earth Shaker,Elite Hammer Attack. Knocks down target and adjacent foes. 50% failure chance unless Hammer Mastery is 5 or more.,8,0,0,0,Hammer Mastery,Prophecies
Endure Pain,Skill. (7...16...18 seconds.) You have +90...258...300 maximum Health.,0,5,0,30,Strength,Core
Enraged Smash,Elite Hammer Attack. Gives you 1...3...4 strikes of adrenaline if you hit. Deals +10...34...40 damage and causes knockdown if target foe was moving.,0,5,0,5,Hammer Mastery,Factions
Enraged Smash (PvP),Elite Hammer Attack. Gives you 1...3...4 strikes of adrenaline if you hit. Deals +10...34...40 damage and causes knockdown if target foe was moving.,0,5,0,10,Hammer Mastery,Factions
Enraging Charge,Stance. (5...13...15 seconds.) You move 25% faster. Gain +0...2...3 adrenaline on your next melee attack. Ends after your next hit.,0,5,0,20,Strength,Nightfall
Eviscerate,Elite Axe Attack. Deals +1...25...31 damage. Inflicts Deep Wound condition (5...17...20 seconds).,8,0,0,0,Axe Mastery,Prophecies
Executioner's Strike,Axe Attack. Deals +10...34...40 damage.,8,0,0,0,Axe Mastery,Core
Fierce Blow,Hammer Attack. Deals +5...17...20 damage. Inflicts Deep Wound (1...7...8 seconds) if target foe is Weakened.,6,0,0,0,Hammer Mastery,Factions
